,location_id,temperature,pedestrians_count,is_holiday,is_special_day,date,weather_condition_clear-day,weather_condition_clear-night,weather_condition_cloudy,weather_condition_fog,weather_condition_partly-cloudy-day,weather_condition_partly-cloudy-night,weather_condition_rain,weather_condition_snow,weather_condition_wind,time_cos,time_sin,day_cos,day_sin,dayofyear_cos,dayofyear_sin
2,330,13.51,203,0,0,2021-09-28 22:00:00,0,0,1,0,0,0,0,0,0,0.8660254037844384,-0.5000000000000004,0.6234898018587336,0.7818314824680298,-0.04732138832243232,-0.9988797155850335
5,330,13.46,25,0,0,2021-09-28 23:00:00,0,0,1,0,0,0,0,0,0,0.9659258262890683,-0.2588190451025207,0.6234898018587336,0.7818314824680298,-0.04732138832243232,-0.9988797155850335
8,330,13.26,17,0,0,2021-09-29 00:00:00,0,0,0,0,0,0,1,0,0,1.0,0.0,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
11,330,13.51,15,0,0,2021-09-29 01:00:00,0,0,0,0,0,0,1,0,0,0.9659258262890683,0.25881904510252074,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
14,330,13.44,18,0,0,2021-09-29 02:00:00,0,0,0,0,0,0,1,0,0,0.8660254037844387,0.49999999999999994,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
17,330,13.09,140,0,0,2021-09-29 03:00:00,0,0,0,0,0,0,1,0,0,0.7071067811865476,0.7071067811865476,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
20,330,12.75,308,0,0,2021-09-29 04:00:00,0,0,0,0,0,1,0,0,0,0.5000000000000001,0.8660254037844386,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
23,330,12.33,592,0,0,2021-09-29 05:00:00,0,0,0,0,0,0,1,0,0,0.25881904510252074,0.9659258262890683,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
26,330,12.35,745,0,0,2021-09-29 06:00:00,0,0,1,0,0,0,0,0,0,6.123233995736766e-17,1.0,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
29,330,12.95,834,0,0,2021-09-29 07:00:00,0,0,0,0,1,0,0,0,0,-0.25881904510252085,0.9659258262890683,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
32,330,13.84,934,0,0,2021-09-29 08:00:00,0,0,0,0,1,0,0,0,0,-0.4999999999999998,0.8660254037844387,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
35,330,15.07,1170,0,0,2021-09-29 09:00:00,0,0,0,0,1,0,0,0,0,-0.7071067811865475,0.7071067811865476,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
38,330,16.35,1567,0,0,2021-09-29 10:00:00,0,0,0,0,1,0,0,0,0,-0.8660254037844387,0.49999999999999994,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
41,330,17.6,1012,0,0,2021-09-29 11:00:00,0,0,0,0,1,0,0,0,0,-0.9659258262890682,0.258819045102521,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
44,330,18.36,248,0,0,2021-09-29 12:00:00,0,0,0,0,1,0,0,0,0,-1.0,1.2246467991473532e-16,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
47,330,18.56,1238,0,0,2021-09-29 13:00:00,0,0,0,0,1,0,0,0,0,-0.9659258262890684,-0.25881904510252035,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
50,330,18.0,1316,0,0,2021-09-29 14:00:00,0,0,0,0,1,0,0,0,0,-0.8660254037844386,-0.5000000000000001,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
53,330,16.89,1582,0,0,2021-09-29 15:00:00,0,0,0,0,1,0,0,0,0,-0.7071067811865477,-0.7071067811865475,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
56,330,15.78,1231,0,0,2021-09-29 16:00:00,0,0,0,0,1,0,0,0,0,-0.5000000000000004,-0.8660254037844385,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
59,330,14.21,908,0,0,2021-09-29 17:00:00,0,0,0,0,1,0,0,0,0,-0.25881904510252063,-0.9659258262890683,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
62,330,13.27,571,0,0,2021-09-29 18:00:00,0,0,0,0,0,1,0,0,0,-1.8369701987210297e-16,-1.0,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
65,330,12.65,449,0,0,2021-09-29 19:00:00,0,0,0,0,0,1,0,0,0,0.2588190451025203,-0.9659258262890684,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
68,330,12.19,383,0,0,2021-09-29 20:00:00,0,0,0,0,0,1,0,0,0,0.5000000000000001,-0.8660254037844386,-0.22252093395631434,0.9749279121818236,-0.03012030484690836,-0.9995462806873573
